name,google_scholar_url,DBLP_url,is_scraped
Abbas Momeni,https://scholar.google.ca/citations?hl=en&user=3i1nWLcAAAAJ,,1
AbdelRahman Abdou,https://scholar.google.com/citations?hl=en&user=qEl1DpQAAAAJ,,1
Adrian Chan,https://scholar.google.com/citations?hl=en&user=n3LVmO8AAAAJ,,1
Ahmed Almaskut,,,1
Ahmed El-Roby,https://scholar.google.com/citations?hl=en&user=DA68vjUAAAAJ,,1
Alan Tsang,https://scholar.google.ca/citations?hl=en&user=OIQwi7oAAAAJ,,1
Alexa Sharp,,https://dblp.org/pid/19/5835.html,1
Alina Shaikhet,,https://dblp.org/pid/18/2242.html,1
Amir Banihashemi,https://scholar.google.ca/citations?hl=en&user=qMWHTJgAAAAJ,,1
Andrew Runka,https://scholar.google.ca/citations?hl=en&user=Ww22BlgAAAAJ,,1
Andy Adler,https://scholar.google.ca/citations?hl=en&user=bO8me80AAAAJ,,1
Angelo Mingarelli,https://scholar.google.ca/citations?hl=en&user=0z3j8i0AAAAJ,,1
Anil Maheshwari,https://scholar.google.ca/citations?hl=en&user=-6ZbKwoAAAAJ,https://dblp.org/pid/m/AnilMaheshwari.html,1
Anil Somayaji,https://scholar.google.ca/citations?hl=en&user=cQUT9bAAAAAJ,,1
Ayse Alaca,,,1
Babak Esfandiari,https://scholar.google.ca/citations?hl=en&user=_QJIp3cAAAAJ,,1
Barbara Szyskowicz,,,1
Brandon Fodden,,,1
Brett Stevens,,https://dblp.org/pid/21/5505.html,1
Carlos Rossa,https://scholar.google.ca/citations?hl=en&user=cHrhpXoAAAAJ,,1
Changcheng Huang,https://scholar.google.ca/citations?hl=en&user=T6kOk1MAAAAJ,,1
Chao Shen,https://scholar.google.ca/citations?hl=en&user=uCRFjCIAAAAJ,,1
Charles Starling,https://scholar.google.com.br/citations?hl=en&user=DtmceEwAAAAJ,,1
Christine Laurendeau,,https://dblp.org/pid/21/2770.html,1
Chung-Horng Lung,https://scholar.google.ca/citations?hl=en&user=WZZOdG4AAAAJ,,1
Colin Ingalls,,,1
Connor Hillen,,,1
Cristina Ruiz Martin,https://scholar.google.ca/citations?hl=en&user=wQ0TKWwAAAAJ,,1
Daniel Panario,https://scholar.google.ca/citations?hl=en&user=nibofUAAAAAJ,,1
Darryl Hill,,https://dblp.org/pid/164/5773.html,1
Dave Amundsen,,https://dblp.org/pid/29/4229.html,1
Dave Campbell,https://scholar.google.com/citations?hl=en&user=rauo0h0AAAAJ,,1
Dave McKenney,https://scholar.google.ca/citations?hl=en&user=43d50hIAAAAJ,,1
David Barrera,https://scholar.google.com/citations?hl=en&user=r69lqqQAAAAJ,,1
David Mould,https://scholar.google.com/citations?hl=en&user=Bx0nD9QAAAAJ,,1
Donald Bailey,,,1
Doron Nussbaum,,https://dblp.org/pid/n/DoronNussbaum.html,1
Douglas Howe,,,1
Dr. Ali Arya,https://scholar.google.ca/citations?hl=en&user=Per9R0UAAAAJ,,1
Dr. Ashraf Matrawy,https://scholar.google.ca/citations?hl=en&user=jqhLkgkAAAAJ,,1
Dr. Audrey Girouard,https://scholar.google.ca/citations?hl=en&user=wP7xkUEAAAAJ,,1
Dr. Chris Joslin,https://scholar.google.ca/citations?hl=en&user=6_vcXMIAAAAJ,,1
Dr. David Sprague,https://scholar.google.com/citations?hl=en&user=ENyvmQkAAAAJ,,1
Dr. David Thue,https://scholar.google.ca/citations?hl=en&user=uWAnAVQAAAAJ,,1
Dr. F. Richard Yu,https://scholar.google.ca/citations?hl=en&user=zuGMGBoAAAAJ,,1
Dr. Jie Gao,https://scholar.google.ca/citations?hl=en&user=NwpBMlkAAAAJ,,1
Dr. KC Collins,https://scholar.google.ca/citations?hl=en&user=z2cCKVgAAAAJ,,1
Dr. Lesley Istead,https://scholar.google.com/citations?hl=en&user=_-7-HTsAAAAJ,,1
Dr. Marc St-Hilaire,https://scholar.google.com/citations?hl=en&user=PH5YlZoAAAAJ,,1
Dr. Marzieh Amini,https://scholar.google.ca/citations?hl=en&user=wTEyJYwAAAAJ,,1
Dr. Masoud Barati,https://scholar.google.com/citations?hl=en&user=YXJ9CpcAAAAJ,,1
Dr. Mehdi Niknam,,https://dblp.org/pid/132/4401.html,1
Dr. Omair Shafiq,https://scholar.google.com/citations?hl=en&user=aAdfSC0AAAAJ,,1
Dr. Robert Teather,https://scholar.google.ca/citations?hl=en&user=KjJbkk8AAAAJ,,1
Dr. Wei Shi,https://scholar.google.com/citations?hl=en&user=XTo3frcAAAAJ,,1
Dwight Deugo,https://scholar.google.ca/citations?hl=en&user=GNTezk0AAAAJ,,1
Elena Devdariani,,,1
Elizabeth Stobert,https://scholar.google.ca/citations?hl=en&user=1otOFaYAAAAJ,,1
Emmanuel Lorin,https://scholar.google.ca/citations?hl=en&user=K5pHbPkAAAAJ,,1
Evangelos Kranakis,https://scholar.google.com/citations?hl=en&user=fDcEuo4AAAAJ,,1
Fateme Rajabiyazdi,https://scholar.google.com.au/citations?hl=en&user=mvoc_5AAAAAJ,,1
Frank Dehne,https://scholar.google.com/citations?hl=en&user=nHJDhwoAAAAJ,,1
Gabriel Wainer,https://scholar.google.com/citations?hl=en&user=eydj1p0AAAAJ,,1
Gennady Shaikhet,,https://dblp.org/pid/78/7873.html,1
Gregory Franks,https://scholar.google.ca/citations?hl=en&user=dcdDfNQAAAAJ,,1
Hala Assal,https://scholar.google.ca/citations?hl=en&user=iqt7_6QAAAAJ,,1
Halim Yanikomeroglu,https://scholar.google.ca/citations?hl=en&user=C2iee4YAAAAJ,,1
Howard Schwartz,https://scholar.google.com/citations?hl=en&user=bRJSt-UAAAAJ,,1
Ian Marsland,https://scholar.google.ca/citations?hl=en&user=x4HW3PMAAAAJ,,1
Inna Bumagin,https://scholar.google.ca/citations?hl=en&user=IDUtHKIAAAAJ,,1
Ioannis Lambadaris,https://scholar.google.ca/citations?hl=en&user=B2Irh-EAAAAJ,,1
James Green,https://scholar.google.ca/citations?hl=en&user=nmxbwm4AAAAJ,,1
Jason (Zhicheng) Gao,https://scholar.google.com/citations?hl=en&user=tC2_cpEAAAAJ,,1
Jason Crann,https://scholar.google.ca/citations?hl=en&user=RA4HHikAAAAJ,,1
Jason Hinek,https://scholar.google.ca/citations?hl=en&user=EF9dccgAAAAJ,,1
Jason Jaskolka,https://scholar.google.ca/citations?hl=en&user=Snka5HcAAAAJ,,1
Jason Nielsen,,,1
Jean-Pierre Corriveau,https://scholar.google.co.th/citations?hl=en&user=SmEIZO0AAAAJ,,1
Jerome Talim,,https://dblp.org/pid/99/5806.html,1
John Oommen,https://scholar.google.ca/citations?hl=en&user=E5TiDR4AAAAJ,,1
Junfeng Wen,https://scholar.google.com/citations?hl=en&user=fXRXgPMAAAAJ,,1
Jörg-Rüdiger Sack,,https://dblp.org/pid/s/JRSack.html,1
Kevin Cheung,,https://dblp.org/pid/14/4349.html,1
Leila Mostaço-Guidolin,https://scholar.google.com/citations?hl=en&user=3y7q_scAAAAJ,,1
Lianying Zhao,https://scholar.google.com/citations?hl=en&user=uAKeg9EAAAAJ,,1
Lucy Campbell,,,1
Lynn Marshall,,,1
Majid Komeili,https://scholar.google.ca/citations?hl=en&user=AIHFesoAAAAJ,,1
Mark Lanthier,,https://dblp.org/pid/28/652.html,1
Matthew Holden,https://scholar.google.ca/citations?hl=en&user=djUNxQsAAAAJ,,1
Matthias Neufang,https://scholar.google.ca/citations?hl=en&user=-MwS9LsAAAAJ,,1
Mengchi Liu,,https://dblp.org/pid/l/MengchiLiu.html,1
Michael Weiss,https://scholar.google.ca/citations?hl=en&user=0SY1aN4AAAAJ,,1
Michel Barbeau,https://scholar.google.com/citations?hl=en&user=edh4yt4AAAAJ,,1
Michiel Smid,,https://dblp.org/pid/35/6715.html,1
Minyi Huang,https://scholar.google.com/citations?hl=en&user=of_arqMAAAAJ,,1
Mohamed Atia,https://scholar.google.ca/citations?hl=en&user=tD85Rk0AAAAJ,,1
Mohamed Ibnkahla,https://scholar.google.ca/citations?hl=en&user=ryfKzl4AAAAJ,,1
Mohamedou Ould Haye,,,1
Mostafa Taha,https://scholar.google.com/citations?hl=en&user=iM8ssiUAAAAJ,,1
Nadine Moacdieh,https://scholar.google.com/citations?hl=en&user=kFPIyYYAAAAJ,,1
Nafiseh Kahani,https://scholar.google.ca/citations?hl=en&user=N8JKTH4AAAAJ,,1
Natalia Stepanova,https://scholar.google.com/citations?hl=en&user=ot9TQPQAAAAJ,,1
Nicola Santoro,https://scholar.google.ca/citations?hl=en&user=A9jJPF8AAAAJ,,1
Nicolas Rodrigue,https://scholar.google.ca/citations?hl=en&user=9raRJDoAAAAJ,,1
Olga Baysal,https://scholar.google.ca/citations?hl=en&user=1yuYTRAAAAAJ,,1
Oliver Van Kaick,https://scholar.google.ca/citations?hl=en&user=IfvyBBUAAAAJ,,1
Pat Morin,https://scholar.google.com/citations?hl=en&user=n0eHj_cAAAAJ,,1
Patrick Farrell,,,1
Paul Mezo,,,1
Paul Van Oorschot,https://scholar.google.ca/citations?hl=en&user=CMRzTi8AAAAJ,,1
Paul Villeneuve,https://scholar.google.ca/citations?hl=en&user=Y7AUCf0AAAAJ,,1
Peter X. Liu,https://scholar.google.ca/citations?hl=en&user=PUT-52IAAAAJ,,1
Prosenjit Bose,https://scholar.google.com/citations?hl=en&user=1jR53ZQAAAAJ,,1
Rabe Abdalkareem,https://scholar.google.ca/citations?hl=en&user=bCT8sjMAAAAJ,,1
Rafik Goubran,https://scholar.google.ca/citations?hl=en&user=Giy-AmwAAAAJ,https://dblp.org/pid/g/RafikAGoubran.html,1
Ramy H. Gohary,https://scholar.google.ca/citations?hl=en&user=rmZDQeAAAAAJ,,1
Richard Dansereau,https://scholar.google.com/citations?hl=en&user=RyOFutYAAAAJ,,1
Robert Biddle,https://scholar.google.ca/citations?hl=en&user=Z3jkhWIAAAAJ,,1
Robert Collier,https://scholar.google.ca/citations?hl=en&user=S2dlRG8AAAAJ,,1
Root Gorelick,https://scholar.google.ca/citations?hl=en&user=SYL6N9oAAAAJ,,1
Roshdy Hafez,https://scholar.google.ca/citations?hl=en&user=v207AiMAAAAJ,,1
Saban Alaca,,,1
Safaa Bedawi,,https://dblp.org/pid/03/7769.html,1
Sam Melkonian,,,1
Samuel Ajila,https://scholar.google.com/citations?hl=en&user=egWTJwMAAAAJ,,1
Sanjeena Dang,https://scholar.google.ca/citations?hl=en&user=SR-GssoAAAAJ,,1
Sanjoy Sinha,,,1
Shaghayegh (Rose) Gomar,,,1
Shikharesh Majumdar,https://scholar.google.ca/citations?hl=en&user=Jtd9L_4AAAAJ,,1
Shirley E. Mills,,https://dblp.dagstuhl.de/pid/55/3710.html,1
Song Cai,,,1
Sonia Chiasson,https://scholar.google.ca/citations?hl=en&user=wg8yZz8AAAAJ,,1
Sreeraman Rajan,https://scholar.google.ca/citations?hl=en&user=L0E4foIAAAAJ,,1
Steven (Qiang) Wang,https://scholar.google.ca/citations?hl=en&user=RTMHUqgAAAAJ,,1
Thomas Kunz,https://scholar.google.ca/citations?hl=en&user=hpoHOqYAAAAJ,,1
Utkarsh Dang,https://scholar.google.ca/citations?hl=en&user=Z9BKsswAAAAJ,,1
Wayne Horn,,,1
Wilf LaLonde,,https://dblp.org/pid/l/WRLaLonde.html,1
Wojciech Jaworski,,https://dblp.org/pid/91/4703.html,1
Yiqiang Zhao,https://scholar.google.ca/citations?hl=en&user=zAOZ4nYAAAAJ,,1
Yuhong Guo,https://scholar.google.com/citations?hl=en&user=Q7VKnRYAAAAJ,,1
Yuly Billig,https://scholar.google.com/citations?hl=en&user=acfrzNQAAAAJ,,1
Yunran Wei,https://scholar.google.fr/citations?hl=en&user=OnMMSAIAAAAJ,,1
Yuu Ono,https://scholar.google.com/citations?hl=en&user=zkukRoIAAAAJ,,1
Yvan Labiche,https://scholar.google.com/citations?hl=en&user=YaZpm7h6qnwC,,1
